Time_min,PAR_umolPPFDm-2s-1,Tair_C
1220,0,26.4
1221,0,26.4
1222,0,26.4
1223,0,26.4
1224,0,26.3
1225,0,26.3
1226,0,26.3
1227,0,26.3
1228,0,26.3
1229,0,26.3
1230,0,26.3
1231,0,26.3
1232,0,26.3
1233,0,26.2
1234,0,26.2
1235,0,26.1
1236,0,26.1
1237,0,26.1
1238,0,26.1
1239,0,26
1240,0,26
1241,0,26
1242,0,26.1
1243,0,26.1
1244,0,26.1
1245,0,26.1
1246,0,26.1
1247,0,26.1
1248,0,26.1
1249,0,26.1
1250,0,26
1251,0,26
1252,0,25.9
1253,0,25.9
1254,0,25.9
1255,0,25.9
1256,0,25.9
1257,0,26
1258,0,25.9
1259,0,26
1260,0,26
1261,0,25.9
1262,0,25.9
1263,0,25.9
1264,0,25.9
1265,0,25.9
1266,0,25.9
1267,0,25.9
1268,0,25.9
1269,0,25.9
1270,0,25.9
1271,0,25.9
1272,0,25.8
1273,0,25.8
1274,0,25.8
1275,0,25.8
1276,0,25.8
1277,0,25.8
1278,0,25.8
1279,0,25.8
1280,0,25.8
1281,0,25.7
1282,0,25.7
1283,0,25.7
1284,0,25.7
1285,0,25.7
1286,0,25.7
1287,0,25.6
1288,0,25.6
1289,0,25.6
1290,0,25.6
1291,0,25.5
1292,0,25.5
1293,0,25.5
1294,0,25.5
1295,0,25.4
1296,0,25.4
1297,0,25.4
1298,0,25.3
1299,0,25.3
1300,0,25.3
1301,0,25.3
1302,0,25.3
1303,0,25.3
1304,0,25.3
1305,0,25.3
1306,0,25.3
1307,0,25.2
1308,0,25.1
1309,0,25.1
1310,0,25.1
1311,0,25.1
1312,0,25.1
1313,0,25.1
1314,0,25.1
1315,0,25.1
1316,0,25.1
1317,0,25.1
1318,0,25.1
1319,0,25.1
1320,0,25.1
1321,0,25
1322,0,25
1323,0,25
1324,0,24.9
1325,0,24.9
1326,0,24.9
1327,0,24.9
1328,0,25
1329,0,24.9
1330,0,24.9
1331,0,24.9
1332,0,24.9
1333,0,25
1334,0,24.9
1335,0,24.9
